R	53.2954	-6.15206	E936	08 Oct 2020	E936\n17:35 - Bray to Howth (0 mins late)\nArrived Salthill and Monkstown next stop Seapoint	Northbound
R	53.3027	-6.17833	E246	08 Oct 2020	E246\n17:10 - Malahide to Bray (1 mins late)\nArrived Blackrock next stop Seapoint	Southbound
R	53.3099	-6.19498	D930	08 Oct 2020	D930\n17:30 - Bray to Maynooth (0 mins late)\nArrived Booterstown next stop Sydney Parade	Northbound
R	53.3206	-6.21112	E835	08 Oct 2020	E835\n17:25 - Bray to Malahide (1 mins late)\nDeparted Sydney Parade next stop Sandymount	Northbound
R	53.3223	-6.52356	D212	08 Oct 2020	D212\n17:32 - Dublin Heuston to Portlaoise (1 mins late)\nDeparted Hazelhatch next stop Sallins	To Portlaoise
R	53.3281	-6.22116	E935	08 Oct 2020	E935\n17:04 - Greystones to Howth (8 mins late)\nDeparted Sandymount next stop Lansdowne Road	Northbound
R	53.334	-6.37868	A221	08 Oct 2020	A221\n15:25 - Cork to Dublin Heuston (2 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3347	-6.22979	E247	08 Oct 2020	E247\n17:20 - Howth to Bray (0 mins late)\nDeparted Lansdowne Road next stop Sandymount	Southbound
R	53.3353	-6.45233	P416	08 Oct 2020	P416\n17:55 - Hazelhatch to Grand Canal Dock (0 mins late)\nArrived Adamstown next stop Park West and Cherry Orchard	Northbound
R	53.3433	-6.24829	D927	08 Oct 2020	D927\n17:10 - Bray to Maynooth (7 mins late)\nArrived Dublin Pearse next stop Tara Street	Northbound
R	53.347	-6.25425	E124	08 Oct 2020	E124\n17:30 - Malahide to Greystones (0 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
R	53.3509	-6.23929	D314	08 Oct 2020	D314\n17:55 - Docklands to M3 Parkway (0 mins late)\nDeparted Docklands next stop Broombridge	Northbound
R	53.3531	-6.24591	E834	08 Oct 2020	E834\n17:05 - Bray to Malahide (3 mins late)\nDeparted Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	P619	08 Oct 2020	P619\n17:00 - Drogheda to Dublin Pearse (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	D415	08 Oct 2020	D415\n17:32 - Grand Canal Dock to Newbridge (3 mins late)\nDeparted Drumcondra next stop Park West and Cherry Orchard	Southbound
R	53.3632	-6.25908	P415	08 Oct 2020	P415\n17:25 - Hazelhatch to Grand Canal Dock (0 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Northbound
R	53.3704	-6.50598	D925	08 Oct 2020	D925\n17:17 - Dublin Connolly to Longford (4 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3704	-6.50598	P755	08 Oct 2020	P755\n17:50 - Maynooth to Dublin Connolly (-1 mins late)\nArrived Leixlip (Louisa Bridge) next stop Leixlip (Confey)	Southbound
R	53.373	-6.20442	E248	08 Oct 2020	E248\n17:40 - Howth to Bray (0 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.3743	-6.48624	D926	08 Oct 2020	D926\n17:30 - Dublin Connolly to Maynooth (0 mins late)\nArrived Leixlip (Confey) next stop Leixlip (Louisa Bridge)	Northbound
R	53.3755	-6.33135	P322	08 Oct 2020	P322\n17:37 - M3 Parkway to Docklands (1 mins late)\nDeparted Ashtown next stop Broombridge	Southbound
R	53.3786	-6.19131	E934	08 Oct 2020	E934\n16:55 - Bray to Howth (2 mins late)\nDeparted Harmonstown next stop Raheny	Northbound
R	53.3816	-6.37149	A911	08 Oct 2020	A911\n15:05 - Sligo to Dublin Connolly (-3 mins late)\nDeparted Castleknock next stop Drumcondra	Southbound
R	53.387	-6.16163	E249	08 Oct 2020	E249\n17:48 - Malahide to Bray (-1 mins late)\nArrived Kilbarrack next stop Raheny	Southbound
T	53.2043	-6.10046	E244	08 Oct 2020	E244\n16:40 - Howth to Bray(2 mins late)\nTERMINATED Bray at 17:57	Southbound
T	53.3531	-6.24591	P753	08 Oct 2020	P753\n17:13 - Maynooth to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 17:53	Southbound
T	53.3891	-6.07401	E933	08 Oct 2020	E933\n16:35 - Bray to Howth(-2 mins late)\nTERMINATED Howth at 17:50	Northbound
